C.A. de residencia,VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,95,125,220,0,1,1
Aragón,10,8,18,0,0,0
Canarias,11,13,24,0,0,0
Castilla y León,24,35,59,0,0,0
Cataluña,120,140,260,1,0,1
Comunidad Valenciana,51,42,93,1,0,1
Galicia,53,81,134,0,0,0
"Madrid, Comunidad de",103,152,255,1,0,1
"Murcia, Región de",22,33,55,0,0,0
"Navarra, Comunidad Foral de",10,7,17,0,0,0
País Vasco,13,14,27,0,0,0
"Rioja, La",1,0,1,0,0,0
Total,513,650,1.163,3,1,4
