C.A. de residencia,VIVOS,,,FALLECIDOS,,
,Hombre,Mujer,TOTAL,Hombre,Mujer,TOTAL
Andalucía,281,285,566,24,19,43
Aragón,,,,,,
Canarias,44,37,81,4,6,10
Castilla y León,98,82,180,3,5,8
Cataluña,191,173,364,21,11,32
Comunidad Valenciana,258,242,500,19,16,35
Galicia,62,87,149,3,4,7
"Madrid, Comunidad de",260,273,533,16,13,29
"Murcia, Región de",72,56,128,6,5,11
"Navarra, Comunidad Foral de",15,13,28,1,0,1
País Vasco,9,8,17,1,0,1
"Rioja, La",2,1,3,0,1,1
(+) Castilla-La Mancha,0,1,1,0,0,0
Total,1.292,1.258,2.550,98,80,178
