ORPHAcode,fenotipo_id,Muy frecuente (80 - 99 %),Frecuente (30 - 79 %),Ocasional (5 - 29 %),Muy rara (1 - 4 %),Excluida (0 %),Siempre (100 %)
93,HP:0008430,0,1,0,0,0,0
93,HP:0040071,0,1,0,0,0,0
93,HP:0000023,0,0,1,0,0,0
93,HP:0000389,0,0,1,0,0,0
93,HP:0000708,0,0,1,0,0,0
93,HP:0001250,0,0,1,0,0,0
93,HP:0001369,0,0,1,0,0,0
93,HP:0001387,0,0,1,0,0,0
93,HP:0001744,0,0,1,0,0,0
93,HP:0001763,0,0,1,0,0,0
93,HP:0002024,0,0,1,0,0,0
93,HP:0002205,0,0,1,0,0,0
93,HP:0002240,0,0,1,0,0,0
93,HP:0002360,0,0,1,0,0,0
93,HP:0002750,0,0,1,0,0,0
93,HP:0003468,0,0,1,0,0,0
93,HP:0004568,0,0,1,0,0,0
93,HP:0011276,0,0,1,0,0,0
585,HP:0000238,0,1,0,0,0,0
585,HP:0000252,0,0,1,0,0,0
585,HP:0000256,0,1,0,0,0,0
585,HP:0000280,0,1,0,0,0,0
585,HP:0000319,0,1,0,0,0,0
585,HP:0000407,0,1,0,0,0,0
585,HP:0000463,0,1,0,0,0,0
585,HP:0000505,1,0,0,0,0,0
585,HP:0000518,0,1,0,0,0,0
585,HP:0000574,0,1,0,0,0,0
585,HP:0000648,0,1,0,0,0,0
585,HP:0001249,1,0,0,0,0,0
585,HP:0001250,0,1,0,0,0,0
585,HP:0001263,1,0,0,0,0,0
585,HP:0001319,1,0,0,0,0,0
585,HP:0001387,0,1,0,0,0,0
585,HP:0001744,1,0,0,0,0,0
585,HP:0002208,0,1,0,0,0,0
585,HP:0002240,1,0,0,0,0,0
585,HP:0002376,1,0,0,0,0,0
585,HP:0003134,1,0,0,0,0,0
585,HP:0004322,0,1,0,0,0,0
585,HP:0005280,0,1,0,0,0,0
585,HP:0007307,1,0,0,0,0,0
585,HP:0007703,0,1,0,0,0,0
585,HP:0007957,0,1,0,0,0,0
585,HP:0008064,1,0,0,0,0,0
585,HP:0008155,1,0,0,0,0,0
585,HP:0010059,0,1,0,0,0,0
585,HP:0011304,0,1,0,0,0,0
118,HP:0000365,1,0,0,0,0,0
118,HP:0001249,1,0,0,0,0,0
118,HP:0001250,1,0,0,0,0,0
118,HP:0001999,1,0,0,0,0,0
118,HP:0002205,1,0,0,0,0,0
118,HP:0005247,1,0,0,0,0,0
141,HP:0000256,0,1,0,0,0,0
141,HP:0000365,0,1,0,0,0,0
141,HP:0000505,0,1,0,0,0,0
141,HP:0000618,0,1,0,0,0,0
141,HP:0000648,1,0,0,0,0,0
141,HP:0000649,0,1,0,0,0,0
