ORPHAcode,nombre_enfermedad,tipo_enfermedad,prevalencia_tipo,prevalencia_final,region_prevalencia,calidad_prevalencia,estado_validacion_prevalencia
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Cases/families,4.0,Worldwide,Case(s),Validated
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
58,Alexander disease,Disease,Annual incidence,0.037,Japan,Value and class,Validated
58,Alexander disease,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
61,Alpha-mannosidosis,Disease,Point prevalence,0.1,Europe,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.09,Australia,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.13,Norway,Value and class,Not yet validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.09,Netherlands,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.12,Portugal,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.38,Czech Republic,Value and class,Validated
61,Alpha-mannosidosis,Disease,Prevalence at birth,0.07,Sweden,Value and class,Validated
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Cases/families,3.0,Worldwide,Case(s),Validated
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Cases/families,2.0,Worldwide,Case(s),Validated
166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
93,Aspartylglucosaminuria,Disease,Prevalence at birth,0.2,Australia,Value and class,Validated
93,Aspartylglucosaminuria,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
93,Aspartylglucosaminuria,Disease,Prevalence at birth,0.62,Sweden,Value and class,Validated
93,Aspartylglucosaminuria,Disease,Prevalence at birth,3.35,Finland,Value and class,Validated
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Cases/families,12.0,Worldwide,Case(s),Validated
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
585,Multiple sulfatase deficiency,Disease,Cases/families,154.0,Worldwide,Case(s),Validated
585,Multiple sulfatase deficiency,Disease,Point prevalence,0.2,Worldwide,Value and class,Validated
118,Beta-mannosidosis,Disease,Prevalence at birth,0.14,Europe,Value and class,Validated
118,Beta-mannosidosis,Disease,Prevalence at birth,0.16,Czech Republic,Value and class,Validated
118,Beta-mannosidosis,Disease,Prevalence at birth,0.13,Netherlands,Value and class,Validated
118,Beta-mannosidosis,Disease,Prevalence at birth,0.12,Portugal,Value and class,Validated
118,Beta-mannosidosis,Disease,Point prevalence,,Worldwide,Class only,Validated
141,Canavan disease,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
141,Canavan disease,Disease,Annual incidence,7.0,Specific population,Value and class,Validated
141,Canavan disease,Disease,Prevalence at birth,1.0,Worldwide,Value and class,Validated
166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Cases/families,10.0,Worldwide,Family(ies),Validated
166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
166078,Von Willebrand disease type 1,Clinical subtype,Point prevalence,0.0003,Europe,Class only,Not yet validated
166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Cases/families,10.0,Worldwide,Case(s),Validated
166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
213,Cystinosis,Disease,Prevalence at birth,0.75,Worldwide,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.5,Europe,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.31,France,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.59,Germany,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,2.1,United Kingdom,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.52,Australia,Value and class,Validated
213,Cystinosis,Disease,Point prevalence,1.5,Europe,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.87,Denmark,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,0.38,Sweden,Value and class,Validated
213,Cystinosis,Disease,Prevalence at birth,1.6,Specific population,Value and class,Validated
166084,Von Willebrand disease type 2A,Clinical subtype,Point prevalence,,Worldwide,Class only,Not yet validated
333,Farber disease,Disease,Cases/families,96.0,Worldwide,Case(s),Validated
333,Farber disease,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
166081,Von Willebrand disease type 2,Clinical subtype,Point prevalence,0.935,Worldwide,Class only,Validated
349,Fucosidosis,Disease,Cases/families,161.0,Worldwide,Case(s),Validated
349,Fucosidosis,Disease,Point prevalence,,Worldwide,Class only,Validated
349,Fucosidosis,Disease,Prevalence at birth,0.1,Sweden,Value and class,Validated
349,Fucosidosis,Disease,Prevalence at birth,0.63,Cuba,Value and class,Validated
166090,Von Willebrand disease type 2M,Clinical subtype,Point prevalence,,Worldwide,Class only,Not yet validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.8,Europe,Value and class,Not yet validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.17,Portugal,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.83,Italy,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,2.25,Netherlands,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.37,Czech Republic,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,11.5,Austria,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,2.5,United States,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.68,Australia,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,2.0,China,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.72,Sweden,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,2.3,Israel,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,4.8,Specific population,Value and class,Validated
365,Glycogen storage disease due to acid maltase deficiency,Disease,Point prevalence,3.0,Europe,Value and class,Validated
166087,Von Willebrand disease type 2B,Clinical subtype,Point prevalence,,Worldwide,Class only,Not yet validated
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Prevalence at birth,1.0,United States,Value and class,Validated
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Point prevalence,,Worldwide,Class only,Validated
166093,Von Willebrand disease type 2N,Clinical subtype,Point prevalence,,Worldwide,Class only,Not yet validated
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.1865,Worldwide,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.037,Austria,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.24,Finland,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.016,France,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Prevalence at birth,0.044,Greece,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.16,Israel,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.055,Italy,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.037,Netherlands,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.25,Norway,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.022,Portugal,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.011,Spain,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.312,Sweden,Value and class,Validated
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.027,United Kingdom,Value and class,Validated
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Prevalence at birth,0.1,Worldwide,Value and class,Not yet validated
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Cases/families,100.0,Worldwide,Case(s),Validated
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Cases/families,3.0,Worldwide,Case(s),Validated
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Prevalence at birth,2.3,Israel,Value and class,Validated
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Prevalence at birth,4.8,Specific population,Value and class,Validated
447,Paroxysmal nocturnal hemoglobinuria,Disease,Annual incidence,0.35,United Kingdom,Value and class,Validated
447,Paroxysmal nocturnal hemoglobinuria,Disease,Point prevalence,3.81,United Kingdom,Value and class,Validated
447,Paroxysmal nocturnal hemoglobinuria,Disease,Point prevalence,2.0,Europe,Value and class,Validated
166108,Birk-Barel syndrome,Disease,Cases/families,1.0,Worldwide,Family(ies),Validated
166108,Birk-Barel syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
166113,Bazex syndrome,Disease,Cases/families,145.0,Worldwide,Case(s),Validated
166113,Bazex syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
535,Rare cutaneous lupus erythematosus,Clinical group,Point prevalence,50.0,Europe,Value and class,Validated
535,Rare cutaneous lupus erythematosus,Clinical group,Annual incidence,4.3,United States,Value and class,Validated
535,Rare cutaneous lupus erythematosus,Clinical group,Point prevalence,73.0,United States,Value and class,Validated
535,Rare cutaneous lupus erythematosus,Clinical group,Annual incidence,4.0,Sweden,Value and class,Validated
166119,Isolated osteopoikilosis,Disease,Point prevalence,2.0,Worldwide,Value and class,Validated
166119,Isolated osteopoikilosis,Disease,Annual incidence,2.0,Worldwide,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,0.327,United States,Value and class,Validated
487,Krabbe disease,Disease,Point prevalence,1.0,Europe,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,0.7,Worldwide,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,1.0,Europe,Value and class,Not yet validated
487,Krabbe disease,Disease,Prevalence at birth,0.7,France,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,0.71,Australia,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,1.35,Netherlands,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,1.21,Portugal,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,0.6,Germany,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,1.0,Turkey,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,0.4,Czech Republic,Value and class,Validated
487,Krabbe disease,Disease,Prevalence at birth,1.9,Sweden,Value and class,Validated
166260,Dentinogenesis imperfecta type 2,Clinical subtype,Point prevalence,14.6,Europe,Value and class,Validated
166265,Dentinogenesis imperfecta type 3,Clinical subtype,Point prevalence,,Worldwide,Class only,Not yet validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.16,Europe,Value and class,Not yet validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.23,Germany,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.15,Netherlands,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.42,Portugal,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.23,Sweden,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,3.3,Sweden,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.07,Norway,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,2.2,Norway,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.05,Denmark,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,3.7,Denmark,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.05,Czech Republic,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.37,Australia,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.1,Canada,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.14,"Taiwan, Province of China",Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.27,Estonia,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,0.059,Colombia,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,0.16,Europe,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,2.3,Turkey,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.0132,Poland,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,7.85,Saudi Arabia,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.28,Brazil,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.03,Japan,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.11,Switzerland,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.3,Tunisia,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.019,"Korea, Republic of",Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.04,United States,Value and class,Validated
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,0.011,United States,Value and class,Validated
166272,Odontochondrodysplasia,Malformation syndrome,Cases/families,11.0,Worldwide,Case(s),Validated
166272,Odontochondrodysplasia,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
576,Mucolipidosis type II,Disease,Prevalence at birth,0.34,Europe,Value and class,Validated
576,Mucolipidosis type II,Disease,Point prevalence,1e-06,Europe,Class only,Validated
576,Mucolipidosis type II,Disease,Prevalence at birth,0.81,Portugal,Value and class,Validated
576,Mucolipidosis type II,Disease,Prevalence at birth,0.16,Netherlands,Value and class,Validated
576,Mucolipidosis type II,Disease,Prevalence at birth,16.2,Specific population,Value and class,Validated
576,Mucolipidosis type II,Disease,Prevalence at birth,0.05,Sweden,Value and class,Validated
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Cases/families,3.0,Worldwide,Case(s),Validated
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
812,Sialidosis type 1,Disease,Point prevalence,1e-06,Europe,Class only,Validated
812,Sialidosis type 1,Disease,Prevalence at birth,1e-06,Europe,Class only,Validated
166282,Familial sick sinus syndrome,Disease,Cases/families,11.0,Worldwide,Case(s),Validated
166282,Familial sick sinus syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
578,Mucolipidosis type IV,Disease,Point prevalence,,Worldwide,Class only,Validated
578,Mucolipidosis type IV,Disease,Prevalence at birth,0.1,Sweden,Value and class,Validated
578,Mucolipidosis type IV,Disease,Prevalence at birth,2.5,Specific population,Value and class,Validated
166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Cases/families,45.0,Worldwide,Case(s),Validated
166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
577,Mucolipidosis type III,Disease,Annual incidence,0.985,Europe,Value and class,Validated
577,Mucolipidosis type III,Disease,Annual incidence,0.08,Netherlands,Value and class,Validated
577,Mucolipidosis type III,Disease,Annual incidence,1.68,Portugal,Value and class,Validated
577,Mucolipidosis type III,Disease,Point prevalence,29.55,Europe,Value and class,Validated
577,Mucolipidosis type III,Disease,Point prevalence,2.4,Netherlands,Value and class,Validated
577,Mucolipidosis type III,Disease,Point prevalence,50.4,Portugal,Value and class,Validated
166291,Dirofilariasis,Disease,Point prevalence,1e-06,Europe,Class only,Not yet validated
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Disease,Cases/families,36.0,Worldwide,Case(s),Validated
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
166305,Benign infantile seizures associated with mild gastroenteritis,Disease,Cases/families,100.0,Worldwide,Case(s),Validated
166305,Benign infantile seizures associated with mild gastroenteritis,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
2912,Poliomyelitis,Disease,Point prevalence,1e-06,Europe,Class only,Not yet validated
2912,Poliomyelitis,Disease,Annual incidence,1e-06,Europe,Class only,Validated
796,Sandhoff disease,Disease,Prevalence at birth,1.49,Portugal,Value and class,Validated
796,Sandhoff disease,Disease,Prevalence at birth,0.34,Netherlands,Value and class,Validated
796,Sandhoff disease,Disease,Prevalence at birth,0.19,Czech Republic,Value and class,Validated
796,Sandhoff disease,Disease,Prevalence at birth,0.26,Australia,Value and class,Validated
796,Sandhoff disease,Disease,Prevalence at birth,0.95,Turkey,Value and class,Validated
796,Sandhoff disease,Disease,Prevalence at birth,0.3,United States,Value and class,Validated
796,Sandhoff disease,Disease,Prevalence at birth,0.67,Europe,Value and class,Validated
796,Sandhoff disease,Disease,Point prevalence,5e-06,Europe,Class only,Not yet validated
796,Sandhoff disease,Disease,Prevalence at birth,0.38,Sweden,Value and class,Validated
801,Scleroderma,Clinical group,Annual incidence,1.41,Worldwide,Value and class,Validated
801,Scleroderma,Clinical group,Point prevalence,42.0,Worldwide,Value and class,Validated
801,Scleroderma,Clinical group,Annual incidence,1.5,Australia,Value and class,Validated
801,Scleroderma,Clinical group,Point prevalence,23.0,Australia,Value and class,Validated
801,Scleroderma,Clinical group,Point prevalence,469.0,Specific population,Value and class,Validated
461,Recessive X-linked ichthyosis,Disease,Annual incidence,15.0,Europe,Value and class,Validated
461,Recessive X-linked ichthyosis,Disease,Point prevalence,16.6,Europe,Value and class,Validated
461,Recessive X-linked ichthyosis,Disease,Annual incidence,9.9,Italy,Value and class,Not yet validated
584,Mucopolysaccharidosis type 7,Disease,Point prevalence,0.01,Europe,Value and class,Validated
584,Mucopolysaccharidosis type 7,Disease,Prevalence at birth,0.24,Netherlands,Value and class,Validated
584,Mucopolysaccharidosis type 7,Disease,Prevalence at birth,0.02,Brazil,Value and class,Validated
584,Mucopolysaccharidosis type 7,Disease,Prevalence at birth,0.02,Czech Republic,Value and class,Validated
584,Mucopolysaccharidosis type 7,Disease,Prevalence at birth,0.02,Japan,Value and class,Validated
584,Mucopolysaccharidosis type 7,Disease,Prevalence at birth,0.038,Switzerland,Value and class,Validated
584,Mucopolysaccharidosis type 7,Disease,Prevalence at birth,0.047,Australia,Value and class,Validated
584,Mucopolysaccharidosis type 7,Disease,Point prevalence,0.007,United States,Value and class,Validated
584,Mucopolysaccharidosis type 7,Disease,Prevalence at birth,0.027,United States,Value and class,Validated
584,Mucopolysaccharidosis type 7,Disease,Prevalence at birth,0.29,Canada,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,5.5,Europe,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,7.5,Austria,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,7.9,Belgium,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,10.5,Bulgaria,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,3.6,Croatia,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,10.4,Denmark,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,7.1,France,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,8.0,Germany,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,3.2,Hungary,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,7.1,Ireland,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,3.4,Italy,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,1.1,Malta,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,14.0,Netherlands,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,4.2,Norway,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,3.6,Poland,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,2.8,Portugal,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,2.8,Spain,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,22.4,Switzerland,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,10.1,United Kingdom,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,2.3,Ukraine,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,70.0,Japan,Value and class,Not yet validated
881,Turner syndrome,Malformation syndrome,Prevalence at birth,42.5,Singapore,Value and class,Validated
881,Turner syndrome,Malformation syndrome,Point prevalence,0.0003,Europe,Class only,Not yet validated
95,Friedreich ataxia,Disease,Point prevalence,2.0,Europe,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,2.3,France,Value and class,Validated
95,Friedreich ataxia,Disease,Prevalence at birth,2.8,Italy,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,1.1,Italy,Value and class,Validated
95,Friedreich ataxia,Disease,Prevalence at birth,6.2,Spain,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,4.3,Spain,Value and class,Not yet validated
95,Friedreich ataxia,Disease,Prevalence at birth,1.0,Finland,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,0.13,Finland,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,0.7,Denmark,Value and class,Not yet validated
95,Friedreich ataxia,Disease,Point prevalence,0.9,Portugal,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,1.8,United Kingdom,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,0.9,Greece,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,1.0,Norway,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,2.1,Germany,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,0.24,Sweden,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,0.27,Czech Republic,Value and class,Validated
95,Friedreich ataxia,Disease,Point prevalence,3.03,Russian Federation,Value and class,Validated
848,Beta-thalassemia,Disease,Annual incidence,1.0,Worldwide,Value and class,Validated
848,Beta-thalassemia,Disease,Point prevalence,0.5,France,Value and class,Validated
848,Beta-thalassemia,Disease,Annual incidence,10.0,Europe,Value and class,Validated
848,Beta-thalassemia,Disease,Point prevalence,5e-06,Europe,Class only,Not yet validated
846,Alpha-thalassemia,Disease,Prevalence at birth,,Europe,Class only,Validated
846,Alpha-thalassemia,Disease,Prevalence at birth,10.3,United States,Value and class,Validated
846,Alpha-thalassemia,Disease,Point prevalence,,Europe,Class only,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,19.3912,Europe,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,11.1319,Europe,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,28.5714,Austria,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,8.39,Austria,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,35.0877,Belgium,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,20.1429,Belgium,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,40.0,Bulgaria,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,2.26,Bulgaria,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,12.6358,Cyprus,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,3.35,Cyprus,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,15.29,Czech Republic,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,8.7775,Czech Republic,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,17.41,Denmark,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,9.9946,Denmark,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,22.2222,Estonia,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,6.18,Estonia,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,4.0,Finland,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,1.1027,Finland,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,21.15,France,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,12.1416,France,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,19.5017,Germany,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,11.1954,Germany,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,28.5714,Greece,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,5.21,Greece,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,,Hungary,Class only,Validated
586,Cystic fibrosis,Disease,Point prevalence,4.09,Hungary,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,36.36,Ireland,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,20.8733,Ireland,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,17.809,Italy,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,10.2236,Italy,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,,Latvia,Class only,Validated
586,Cystic fibrosis,Disease,Point prevalence,1.04,Latvia,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,,Lithuania,Class only,Validated
586,Cystic fibrosis,Disease,Point prevalence,1.3,Lithuania,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,,Luxembourg,Class only,Validated
586,Cystic fibrosis,Disease,Point prevalence,4.31,Luxembourg,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,,Malta,Class only,Validated
586,Cystic fibrosis,Disease,Point prevalence,5.79,Malta,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,16.58,Netherlands,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,9.5181,Netherlands,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,11.5474,Norway,Value and class,Validated
