ORPHAcode,nombre_enfermedad,tipo_enfermedad,edad_media_inicio,tipo_herencia
2135,Cutaneous mastocytosis-deafness-microtia syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2136,Hennekam syndrome,Malformation syndrome,['Childhood'],['Autosomal recessive']
2137,Autoimmune hepatitis,Disease,"['Adolescent', 'Adult', 'Childhood', 'Elderly']",['Not applicable']
2138,"46,XX ovotesticular difference of sex development",Malformation syndrome,"['Adolescent', 'Antenatal', 'Neonatal']","['Autosomal dominant', 'Autosomal recessive']"
2139,Hernández-Aguirre Negrete syndrome,Malformation syndrome,['Childhood'],['Autosomal recessive']
2140,Congenital diaphragmatic hernia,Morphological anomaly,['Neonatal'],"['Multigenic/multifactorial', 'Not applicable']"
2141,Diaphragmatic defect-limb deficiency-skull defect syndrome,Malformation syndrome,['Antenatal'],['Unknown']
2143,Donnai-Barrow syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal recessive']
2145,"Craniosynostosis, Herrmann-Opitz type",Malformation syndrome,['Antenatal'],[]
2148,Lissencephaly type 1 due to doublecortin gene mutation,Disease,"['Adolescent', 'Childhood', 'Infancy', 'Neonatal']",['X-linked recessive']
2149,Nodular neuronal heterotopia,Morphological anomaly,['All ages'],"['Autosomal dominant', 'Autosomal recessive', 'X-linked dominant']"
2150,Hirschsprung disease-type D brachydactyly syndrome,Malformation syndrome,['Neonatal'],[]
2151,Hirschsprung disease-ganglioneuroblastoma syndrome,Malformation syndrome,['Neonatal'],[]
2152,Mowat-Wilson syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal dominant']
2153,Hirschsprung disease-nail hypoplasia-dysmorphism syndrome,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2155,Hirschsprung disease-deafness-polydactyly syndrome,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2157,Histidinemia,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
2158,Histidinuria-renal tubular defect syndrome,Disease,"['Childhood', 'Infancy']",[]
2162,Holoprosencephaly,Malformation syndrome,"['Antenatal', 'Neonatal']","['Autosomal recessive', 'Multigenic/multifactorial', 'Not applicable', 'Oligogenic', 'X-linked dominant']"
2163,Holoprosencephaly-craniosynostosis syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2165,Holoprosencephaly-caudal dysgenesis syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2166,Holoprosencephaly-postaxial polydactyly syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal recessive']
2167,Holzgreve syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2169,Methylcobalamin deficiency type cblE,Clinical subtype,['Childhood'],['Autosomal recessive']
2170,Methylcobalamin deficiency type cblG,Clinical subtype,['All ages'],['Autosomal recessive']
2172,Microcephaly-glomerulonephritis-marfanoid habitus syndrome,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2176,Infantile systemic hyalinosis,Clinical subtype,"['Infancy', 'Neonatal']",['Autosomal recessive']
