ORPHAcode,nombre_enfermedad
189,Hidrotic ectodermal dysplasia
190,Coats disease
191,Cockayne syndrome
192,Coffin-Lowry syndrome
193,Cohen syndrome
195,Cat-eye syndrome
198,Occipital horn syndrome
199,Cornelia de Lange syndrome
200,Isolated corpus callosum agenesis
201,Cowden syndrome
202,Crandall syndrome
204,Sporadic Creutzfeldt-Jakob disease
205,Crigler-Najjar syndrome
207,Crouzon syndrome
209,Cutis laxa
210,Cyclosporiasis
211,Familial cylindromatosis
212,Cystathioninuria
213,Cystinosis
214,Cystinuria
215,Congenital stationary night blindness
216,Neuronal ceroid lipofuscinosis
217,Isolated Dandy-Walker malformation
218,Darier disease
219,Delta-sarcoglycan-related limb-girdle muscular dystrophy R6
220,Denys-Drash syndrome
221,Dermatomyositis
222,Erosive pustular dermatosis of the scalp
223,Arginine vasopressin resistance
224,Neonatal diabetes mellitus
226,Dihydropteridine reductase deficiency
227,Diphallia
229,Familial aortic dissection
230,Dopamine beta-hydroxylase deficiency
231,Dracunculiasis
232,Sickle cell anemia
233,Duane retraction syndrome
234,Dubin-Johnson syndrome
235,Dubowitz syndrome
236,Trisomy 9p syndrome
237,Duplication of urethra
239,Dyggve-Melchior-Clausen disease
240,Léri-Weill dyschondrosteosis
241,Dyschromatosis universalis hereditaria
242,"46,XY complete gonadal dysgenesis"
243,"46,XX gonadal dysgenesis"
244,Primary ciliary dyskinesia
245,Nager syndrome
246,Postaxial acrofacial dysostosis
247,Inherited arrhythmogenic cardiomyopathy
248,Autosomal recessive hypohidrotic ectodermal dysplasia
249,Fibrous dysplasia of bone
250,Frontonasal dysplasia
251,Multiple epiphyseal dysplasia
253,Spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia
254,Spondylometaphyseal dysplasia
255,Dopa-responsive dystonia
256,Early-onset generalized limb-onset dystonia
257,Epidermolysis bullosa simplex with muscular dystrophy
258,Laminin subunit alpha 2-related congenital muscular dystrophy
261,Emery-Dreifuss muscular dystrophy
262,Duchenne and Becker muscular dystrophy
263,Limb-girdle muscular dystrophy
266,Autosomal dominant limb-girdle muscular dystrophy type 1A
267,Calpain-3-related limb-girdle muscular dystrophy R1
268,Dysferlin-related limb-girdle muscular dystrophy R2
269,Facioscapulohumeral dystrophy
270,Oculopharyngeal muscular dystrophy
272,"Congenital muscular dystrophy, Fukuyama type"
273,Steinert myotonic dystrophy
274,Bernard-Soulier syndrome
275,Severe combined immunodeficiency due to DCLRE1C deficiency
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency
277,Severe combined immunodeficiency due to adenosine deaminase deficiency
280,Wolf-Hirschhorn syndrome
281,Monosomy 5p syndrome
282,Frontotemporal dementia
283,Demodicidosis
284,Alveolar echinococcosis
285,Hypermobile Ehlers-Danlos syndrome
286,Vascular Ehlers-Danlos syndrome
287,Classical Ehlers-Danlos syndrome
288,Hereditary elliptocytosis
289,Ellis Van Creveld syndrome
290,Congenital rubella syndrome
291,Congenital varicella syndrome
292,Congenital enterovirus infection
293,Congenital herpes simplex virus infection
294,Fetal cytomegalovirus syndrome
295,Fetal parvovirus syndrome
296,Ollier disease
297,Tick-borne encephalitis
298,Mitochondrial neurogastrointestinal encephalomyopathy
300,Bifunctional enzyme deficiency
301,Ependymal tumor
302,Inherited epidermodysplasia verruciformis
303,Dystrophic epidermolysis bullosa
304,Epidermolysis bullosa simplex
305,Junctional epidermolysis bullosa
306,Self-limited infantile epilepsy
307,Juvenile myoclonic epilepsy
308,Progressive myoclonic epilepsy type 1
309,Familial partial epilepsy
310,Reflex epilepsy
312,Autosomal dominant epidermolytic ichthyosis
313,Lamellar ichthyosis
314,Erythroderma desquamativum
315,Erythrokeratoderma ''en cocardes''
316,Progressive symmetric erythrokeratodermia
317,Erythrokeratodermia variabilis
318,Acute erythroid leukemia
319,Skeletal Ewing sarcoma
320,Apparent mineralocorticoid excess
321,Multiple osteochondromas
322,Exstrophy-epispadias complex
324,Fabry disease
325,Congenital factor II deficiency
326,Congenital factor V deficiency
327,Congenital factor VII deficiency
328,Congenital factor X deficiency
329,Congenital factor XI deficiency
330,Congenital factor XII deficiency
331,Congenital factor XIII deficiency
332,Congenital intrinsic factor deficiency
333,Farber disease
334,Familial atrial fibrillation
335,Congenital fibrinogen deficiency
337,Fibrodysplasia ossificans progressiva
340,Hemorrhagic fever-renal syndrome
341,Viral hemorrhagic fever
342,Familial Mediterranean fever
343,Hyperimmunoglobulinemia D with periodic fever
345,Dissecting cellulitis of the scalp
346,Quinquaud folliculitis decalvans
347,Frasier syndrome
348,"Fructose-1,6-bisphosphatase deficiency"
349,Fucosidosis
351,Galactosialidosis
352,Galactosemia
353,Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5
354,GM1 gangliosidosis
355,Gaucher disease
356,Gerstmann-Straussler-Scheinker syndrome
358,Gitelman syndrome
359,Pediatric-onset glaucoma of genetic origin
360,Glioblastoma
361,Familial glucocorticoid deficiency
364,Glycogen storage disease due to glucose-6-phosphatase deficiency
365,Glycogen storage disease due to acid maltase deficiency
366,Glycogen storage disease due to glycogen debranching enzyme deficiency
367,Glycogen storage disease due to glycogen branching enzyme deficiency
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency
370,Glycogen storage disease due to phosphorylase kinase deficiency
371,Glycogen storage disease due to muscle phosphofructokinase deficiency
373,Simpson-Golabi-Behmel syndrome
375,Anti-glomerular basement membrane disease
376,Gordon syndrome
377,Gorlin syndrome
379,Chronic granulomatous disease
380,Greig cephalopolysyndactyly syndrome
381,Griscelli syndrome
382,Guanidinoacetate methyltransferase deficiency
384,Huriez syndrome
385,Neurodegeneration with brain iron accumulation
386,Hepatic cystic hamartoma
388,Hirschsprung disease
389,Langerhans cell histiocytosis
390,Histoplasmosis
391,Classic Hodgkin lymphoma
392,Holt-Oram syndrome
393,"46,XX testicular difference of sex development"
394,Homocystinuria due to cystathionine beta-synthase deficiency
395,Homocystinuria due to methylene tetrahydrofolate reductase deficiency
396,Chronic hiccup
397,Giant cell arteritis
399,Huntington disease
400,Cystic echinococcosis
401,Hymenolepiasis
403,Familial hyperaldosteronism type I
404,Familial hyperaldosteronism type II
405,Familial hypocalciuric hypercalcemia
407,Glycine encephalopathy
408,Isolated glycerol kinase deficiency
409,Hyperkeratosis lenticularis perstans
412,Dysbetalipoproteinemia
414,Gyrate atrophy of choroid and retina
415,Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome
416,Primary hyperoxaluria
417,Neonatal severe primary hyperparathyroidism
418,Congenital adrenal hyperplasia
419,Hyperprolinemia type 1
422,Idiopathic/heritable pulmonary arterial hypertension
423,Malignant hyperthermia of anesthesia
424,Familial hyperthyroidism due to mutations in TSH receptor
425,Apolipoprotein A-I deficiency
427,Familial hypoaldosteronism
428,Autosomal dominant hypocalcemia
429,Hypochondroplasia
432,Normosmic congenital hypogonadotropic hypogonadism
436,Hypophosphatasia
437,Hypophosphatemic rickets
439,Isolated right ventricular hypoplasia
441,Pure autonomic failure
442,Congenital hypothyroidism
444,Marie Unna hereditary hypotrichosis
446,Neonatal hemochromatosis
447,Paroxysmal nocturnal hemoglobinuria
448,Hemophilia
449,Hepatoblastoma
450,Heterotaxia
452,X-linked lissencephaly with abnormal genitalia
454,Acquired ichthyosis
455,Superficial epidermolytic ichthyosis
457,Harlequin ichthyosis
461,Recessive X-linked ichthyosis
464,Incontinentia pigmenti
465,Congenital plasminogen activator inhibitor type 1 deficiency
466,Fatal familial insomnia
467,Non-acquired combined pituitary hormone deficiency
469,Hereditary fructose intolerance
470,Lysinuric protein intolerance
472,Isosporiasis
474,Jeune syndrome
475,Joubert syndrome
477,KID syndrome
478,Kallmann syndrome
480,Kearns-Sayre syndrome
481,Kennedy disease
482,Kimura disease
483,Congenital high-molecular-weight kininogen deficiency
485,Kniest dysplasia
486,Autosomal dominant severe congenital neutropenia
487,Krabbe disease
488,Urachal cyst
490,Omphalomesenteric cyst
492,Proliferating trichilemmal cyst
493,Familial keratoacanthoma
494,Keratoderma hereditarium mutilans
495,Transgrediens et progrediens palmoplantar keratoderma
498,Keratosis pilaris atrophicans
499,Kerion celsi
500,Noonan syndrome with multiple lentigines
501,Lafora disease
502,Trichorhinophalangeal syndrome type 2
503,Larsen syndrome
504,Creeping myiasis
505,Graham Little-Piccardi-Lassueur syndrome
506,Leigh syndrome
507,Leishmaniasis
508,Leprechaunism
509,Leptospirosis
510,Lesch-Nyhan syndrome
511,Maple syrup urine disease
512,Metachromatic leukodystrophy
513,Acute lymphoblastic leukemia
514,Acute monoblastic/monocytic leukemia
517,Acute myelomonocytic leukemia
518,Acute megakaryoblastic leukemia
519,Acute myeloid leukemia
520,Acute promyelocytic leukemia
521,Chronic myeloid leukemia
523,Hereditary leiomyomatosis and renal cell cancer
524,Li-Fraumeni syndrome
525,Lichen planopilaris
526,Liddle syndrome
528,Congenital generalized lipodystrophy
529,Roch-Leri mesosomatous lipomatosis
530,Lipoid proteinosis
531,Miller-Dieker syndrome
533,Listeriosis
534,Oculocerebrorenal syndrome of Lowe
