clase_id,clase,ORPHAcode,nombre_enfermedad
150,Rare inborn errors of metabolism,25,Glutaryl-CoA dehydrogenase deficiency
156,Rare genetic diseases,25,Glutaryl-CoA dehydrogenase deficiency
181,Rare neurological diseases,25,Glutaryl-CoA dehydrogenase deficiency
150,Rare inborn errors of metabolism,26,Methylmalonic acidemia with homocystinuria
156,Rare genetic diseases,26,Methylmalonic acidemia with homocystinuria
181,Rare neurological diseases,26,Methylmalonic acidemia with homocystinuria
194,Rare hematological diseases,26,Methylmalonic acidemia with homocystinuria
150,Rare inborn errors of metabolism,27,Vitamin B12-unresponsive methylmalonic acidemia
156,Rare genetic diseases,27,Vitamin B12-unresponsive methylmalonic acidemia
181,Rare neurological diseases,27,Vitamin B12-unresponsive methylmalonic acidemia
188,Rare renal diseases,27,Vitamin B12-unresponsive methylmalonic acidemia
233,Rare transplant-related disorders,27,Vitamin B12-unresponsive methylmalonic acidemia
150,Rare inborn errors of metabolism,28,Vitamin B12-responsive methylmalonic acidemia
156,Rare genetic diseases,28,Vitamin B12-responsive methylmalonic acidemia
188,Rare renal diseases,28,Vitamin B12-responsive methylmalonic acidemia
233,Rare transplant-related disorders,28,Vitamin B12-responsive methylmalonic acidemia
147,Rare developmental anomalies during embryogenesis,29,Mevalonic aciduria
150,Rare inborn errors of metabolism,29,Mevalonic aciduria
156,Rare genetic diseases,29,Mevalonic aciduria
181,Rare neurological diseases,29,Mevalonic aciduria
187,Rare skin diseases,29,Mevalonic aciduria
189,Rare ophthalmic disorders,29,Mevalonic aciduria
196,Rare systemic and rheumatological diseases,29,Mevalonic aciduria
231,Rare systemic or rheumatologic diseases of childhood,29,Mevalonic aciduria
150,Rare inborn errors of metabolism,30,Hereditary orotic aciduria
156,Rare genetic diseases,30,Hereditary orotic aciduria
181,Rare neurological diseases,30,Hereditary orotic aciduria
194,Rare hematological diseases,30,Hereditary orotic aciduria
150,Rare inborn errors of metabolism,31,Oxoglutaric aciduria
156,Rare genetic diseases,31,Oxoglutaric aciduria
181,Rare neurological diseases,31,Oxoglutaric aciduria
150,Rare inborn errors of metabolism,32,Glutathione synthetase deficiency
156,Rare genetic diseases,32,Glutathione synthetase deficiency
181,Rare neurological diseases,32,Glutathione synthetase deficiency
194,Rare hematological diseases,32,Glutathione synthetase deficiency
150,Rare inborn errors of metabolism,33,Isovaleric acidemia
156,Rare genetic diseases,33,Isovaleric acidemia
181,Rare neurological diseases,33,Isovaleric acidemia
150,Rare inborn errors of metabolism,35,Propionic acidemia
156,Rare genetic diseases,35,Propionic acidemia
147,Rare developmental anomalies during embryogenesis,36,Acrocallosal syndrome
156,Rare genetic diseases,36,Acrocallosal syndrome
181,Rare neurological diseases,36,Acrocallosal syndrome
199,Rare bone diseases,36,Acrocallosal syndrome
147,Rare developmental anomalies during embryogenesis,37,Acrodermatitis enteropathica
150,Rare inborn errors of metabolism,37,Acrodermatitis enteropathica
152,Rare gastroenterological diseases,37,Acrodermatitis enteropathica
156,Rare genetic diseases,37,Acrodermatitis enteropathica
187,Rare skin diseases,37,Acrodermatitis enteropathica
156,Rare genetic diseases,38,Acrokeratoelastoidosis of Costa
187,Rare skin diseases,38,Acrokeratoelastoidosis of Costa
187,Rare skin diseases,39,Acromelanosis
147,Rare developmental anomalies during embryogenesis,40,"Acromesomelic dysplasia, Maroteaux type"
156,Rare genetic diseases,40,"Acromesomelic dysplasia, Maroteaux type"
199,Rare bone diseases,40,"Acromesomelic dysplasia, Maroteaux type"
156,Rare genetic diseases,41,Dyschromatosis symmetrica hereditaria
187,Rare skin diseases,41,Dyschromatosis symmetrica hereditaria
150,Rare inborn errors of metabolism,42,Medium chain acyl-CoA dehydrogenase deficiency
156,Rare genetic diseases,42,Medium chain acyl-CoA dehydrogenase deficiency
150,Rare inborn errors of metabolism,43,X-linked adrenoleukodystrophy
156,Rare genetic diseases,43,X-linked adrenoleukodystrophy
181,Rare neurological diseases,43,X-linked adrenoleukodystrophy
193,Rare endocrine diseases,43,X-linked adrenoleukodystrophy
201,Rare infertility disorders,43,X-linked adrenoleukodystrophy
233,Rare transplant-related disorders,43,X-linked adrenoleukodystrophy
150,Rare inborn errors of metabolism,44,Neonatal adrenoleukodystrophy
156,Rare genetic diseases,44,Neonatal adrenoleukodystrophy
181,Rare neurological diseases,44,Neonatal adrenoleukodystrophy
183,Rare hepatic diseases,44,Neonatal adrenoleukodystrophy
189,Rare ophthalmic disorders,44,Neonatal adrenoleukodystrophy
193,Rare endocrine diseases,44,Neonatal adrenoleukodystrophy
150,Rare inborn errors of metabolism,45,Adenosine monophosphate deaminase deficiency
156,Rare genetic diseases,45,Adenosine monophosphate deaminase deficiency
181,Rare neurological diseases,45,Adenosine monophosphate deaminase deficiency
150,Rare inborn errors of metabolism,46,Adenylosuccinate lyase deficiency
156,Rare genetic diseases,46,Adenylosuccinate lyase deficiency
181,Rare neurological diseases,46,Adenylosuccinate lyase deficiency
156,Rare genetic diseases,47,X-linked agammaglobulinemia
195,Rare immunological diseases,47,X-linked agammaglobulinemia
147,Rare developmental anomalies during embryogenesis,48,Congenital bilateral absence of vas deferens
156,Rare genetic diseases,48,Congenital bilateral absence of vas deferens
185,Rare urogenital diseases,48,Congenital bilateral absence of vas deferens
201,Rare infertility disorders,48,Congenital bilateral absence of vas deferens
233,Rare transplant-related disorders,48,Congenital bilateral absence of vas deferens
147,Rare developmental anomalies during embryogenesis,49,Penile agenesis
185,Rare urogenital diseases,49,Penile agenesis
193,Rare endocrine diseases,49,Penile agenesis
233,Rare transplant-related disorders,49,Penile agenesis
147,Rare developmental anomalies during embryogenesis,50,Aicardi syndrome
156,Rare genetic diseases,50,Aicardi syndrome
181,Rare neurological diseases,50,Aicardi syndrome
189,Rare ophthalmic disorders,50,Aicardi syndrome
202,Rare neoplastic diseases,50,Aicardi syndrome
156,Rare genetic diseases,51,Aicardi-Goutières syndrome
181,Rare neurological diseases,51,Aicardi-Goutières syndrome
196,Rare systemic and rheumatological diseases,51,Aicardi-Goutières syndrome
231,Rare systemic or rheumatologic diseases of childhood,51,Aicardi-Goutières syndrome
147,Rare developmental anomalies during embryogenesis,52,Alagille syndrome
148,Rare cardiac malformations,52,Alagille syndrome
156,Rare genetic diseases,52,Alagille syndrome
182,Rare abdominal surgical diseases,52,Alagille syndrome
183,Rare hepatic diseases,52,Alagille syndrome
188,Rare renal diseases,52,Alagille syndrome
189,Rare ophthalmic disorders,52,Alagille syndrome
202,Rare neoplastic diseases,52,Alagille syndrome
233,Rare transplant-related disorders,52,Alagille syndrome
147,Rare developmental anomalies during embryogenesis,53,Albers-Schönberg osteopetrosis
156,Rare genetic diseases,53,Albers-Schönberg osteopetrosis
189,Rare ophthalmic disorders,53,Albers-Schönberg osteopetrosis
199,Rare bone diseases,53,Albers-Schönberg osteopetrosis
233,Rare transplant-related disorders,53,Albers-Schönberg osteopetrosis
150,Rare inborn errors of metabolism,54,X-linked recessive ocular albinism
156,Rare genetic diseases,54,X-linked recessive ocular albinism
189,Rare ophthalmic disorders,54,X-linked recessive ocular albinism
150,Rare inborn errors of metabolism,55,Oculocutaneous albinism
156,Rare genetic diseases,55,Oculocutaneous albinism
187,Rare skin diseases,55,Oculocutaneous albinism
189,Rare ophthalmic disorders,55,Oculocutaneous albinism
150,Rare inborn errors of metabolism,56,Alkaptonuria
156,Rare genetic diseases,56,Alkaptonuria
187,Rare skin diseases,56,Alkaptonuria
189,Rare ophthalmic disorders,56,Alkaptonuria
150,Rare inborn errors of metabolism,57,Glycogen storage disease due to aldolase A deficiency
156,Rare genetic diseases,57,Glycogen storage disease due to aldolase A deficiency
194,Rare hematological diseases,57,Glycogen storage disease due to aldolase A deficiency
156,Rare genetic diseases,58,Alexander disease
181,Rare neurological diseases,58,Alexander disease
156,Rare genetic diseases,59,Allan-Herndon-Dudley syndrome
181,Rare neurological diseases,59,Allan-Herndon-Dudley syndrome
193,Rare endocrine diseases,59,Allan-Herndon-Dudley syndrome
150,Rare inborn errors of metabolism,60,Alpha-1-antitrypsin deficiency
156,Rare genetic diseases,60,Alpha-1-antitrypsin deficiency
183,Rare hepatic diseases,60,Alpha-1-antitrypsin deficiency
184,Rare respiratory diseases,60,Alpha-1-antitrypsin deficiency
188,Rare renal diseases,60,Alpha-1-antitrypsin deficiency
233,Rare transplant-related disorders,60,Alpha-1-antitrypsin deficiency
150,Rare inborn errors of metabolism,61,Alpha-mannosidosis
156,Rare genetic diseases,61,Alpha-mannosidosis
181,Rare neurological diseases,61,Alpha-mannosidosis
189,Rare ophthalmic disorders,61,Alpha-mannosidosis
199,Rare bone diseases,61,Alpha-mannosidosis
146,Rare cardiac diseases,62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3
156,Rare genetic diseases,62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3
181,Rare neurological diseases,62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3
233,Rare transplant-related disorders,62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3
147,Rare developmental anomalies during embryogenesis,63,Alport syndrome
156,Rare genetic diseases,63,Alport syndrome
188,Rare renal diseases,63,Alport syndrome
189,Rare ophthalmic disorders,63,Alport syndrome
200,Rare otorhinolaryngological diseases,63,Alport syndrome
233,Rare transplant-related disorders,63,Alport syndrome
146,Rare cardiac diseases,64,Alström syndrome
147,Rare developmental anomalies during embryogenesis,64,Alström syndrome
156,Rare genetic diseases,64,Alström syndrome
181,Rare neurological diseases,64,Alström syndrome
188,Rare renal diseases,64,Alström syndrome
189,Rare ophthalmic disorders,64,Alström syndrome
193,Rare endocrine diseases,64,Alström syndrome
200,Rare otorhinolaryngological diseases,64,Alström syndrome
233,Rare transplant-related disorders,64,Alström syndrome
156,Rare genetic diseases,65,Leber congenital amaurosis
181,Rare neurological diseases,65,Leber congenital amaurosis
189,Rare ophthalmic disorders,65,Leber congenital amaurosis
203,Rare infectious diseases,67,Amoebiasis due to Entamoeba histolytica
203,Rare infectious diseases,68,Amoebiasis due to free-living amoebae
196,Rare systemic and rheumatological diseases,69,Amyloidosis
156,Rare genetic diseases,70,Proximal spinal muscular atrophy
181,Rare neurological diseases,70,Proximal spinal muscular atrophy
150,Rare inborn errors of metabolism,71,Chylomicron retention disease
152,Rare gastroenterological diseases,71,Chylomicron retention disease
156,Rare genetic diseases,71,Chylomicron retention disease
193,Rare endocrine diseases,71,Chylomicron retention disease
147,Rare developmental anomalies during embryogenesis,72,Angelman syndrome
156,Rare genetic diseases,72,Angelman syndrome
181,Rare neurological diseases,72,Angelman syndrome
147,Rare developmental anomalies during embryogenesis,73,Gorham-Stout disease
156,Rare genetic diseases,73,Gorham-Stout disease
196,Rare systemic and rheumatological diseases,73,Gorham-Stout disease
198,Rare circulatory system diseases,73,Gorham-Stout disease
199,Rare bone diseases,73,Gorham-Stout disease
231,Rare systemic or rheumatologic diseases of childhood,73,Gorham-Stout disease
203,Rare infectious diseases,74,Angiostrongyliasis
203,Rare infectious diseases,76,Strongyloidiasis
203,Rare infectious diseases,78,Ankylostomiasis
156,Rare genetic diseases,79,Congenital alpha2-antiplasmin deficiency
194,Rare hematological diseases,79,Congenital alpha2-antiplasmin deficiency
194,Rare hematological diseases,80,Antiphospholipid syndrome
196,Rare systemic and rheumatological diseases,80,Antiphospholipid syndrome
205,Rare gynecological and obstetric diseases,80,Antiphospholipid syndrome
181,Rare neurological diseases,81,Antisynthetase syndrome
184,Rare respiratory diseases,81,Antisynthetase syndrome
196,Rare systemic and rheumatological diseases,81,Antisynthetase syndrome
233,Rare transplant-related disorders,81,Antisynthetase syndrome
156,Rare genetic diseases,82,Hereditary thrombophilia due to congenital antithrombin deficiency
194,Rare hematological diseases,82,Hereditary thrombophilia due to congenital antithrombin deficiency
196,Rare systemic and rheumatological diseases,82,Hereditary thrombophilia due to congenital antithrombin deficiency
199,Rare bone diseases,82,Hereditary thrombophilia due to congenital antithrombin deficiency
147,Rare developmental anomalies during embryogenesis,83,Antley-Bixler syndrome
156,Rare genetic diseases,83,Antley-Bixler syndrome
181,Rare neurological diseases,83,Antley-Bixler syndrome
199,Rare bone diseases,83,Antley-Bixler syndrome
147,Rare developmental anomalies during embryogenesis,84,Fanconi anemia
156,Rare genetic diseases,84,Fanconi anemia
181,Rare neurological diseases,84,Fanconi anemia
187,Rare skin diseases,84,Fanconi anemia
188,Rare renal diseases,84,Fanconi anemia
194,Rare hematological diseases,84,Fanconi anemia
199,Rare bone diseases,84,Fanconi anemia
202,Rare neoplastic diseases,84,Fanconi anemia
233,Rare transplant-related disorders,84,Fanconi anemia
156,Rare genetic diseases,85,Congenital dyserythropoietic anemia
194,Rare hematological diseases,85,Congenital dyserythropoietic anemia
156,Rare genetic diseases,86,Familial abdominal aortic aneurysm
198,Rare circulatory system diseases,86,Familial abdominal aortic aneurysm
147,Rare developmental anomalies during embryogenesis,87,Apert syndrome
156,Rare genetic diseases,87,Apert syndrome
181,Rare neurological diseases,87,Apert syndrome
189,Rare ophthalmic disorders,87,Apert syndrome
199,Rare bone diseases,87,Apert syndrome
200,Rare otorhinolaryngological diseases,87,Apert syndrome
209,Rare surgical maxillo-facial diseases,87,Apert syndrome
194,Rare hematological diseases,88,Idiopathic aplastic anemia
233,Rare transplant-related disorders,88,Idiopathic aplastic anemia
150,Rare inborn errors of metabolism,90,Argininemia
156,Rare genetic diseases,90,Argininemia
147,Rare developmental anomalies during embryogenesis,91,Aromatase deficiency
156,Rare genetic diseases,91,Aromatase deficiency
185,Rare urogenital diseases,91,Aromatase deficiency
193,Rare endocrine diseases,91,Aromatase deficiency
201,Rare infertility disorders,91,Aromatase deficiency
205,Rare gynecological and obstetric diseases,91,Aromatase deficiency
184,Rare respiratory diseases,92,Juvenile idiopathic arthritis
196,Rare systemic and rheumatological diseases,92,Juvenile idiopathic arthritis
231,Rare systemic or rheumatologic diseases of childhood,92,Juvenile idiopathic arthritis
233,Rare transplant-related disorders,92,Juvenile idiopathic arthritis
150,Rare inborn errors of metabolism,93,Aspartylglucosaminuria
156,Rare genetic diseases,93,Aspartylglucosaminuria
181,Rare neurological diseases,93,Aspartylglucosaminuria
199,Rare bone diseases,93,Aspartylglucosaminuria
181,Rare neurological diseases,94,Astrocytoma
202,Rare neoplastic diseases,94,Astrocytoma
146,Rare cardiac diseases,95,Friedreich ataxia
156,Rare genetic diseases,95,Friedreich ataxia
181,Rare neurological diseases,95,Friedreich ataxia
189,Rare ophthalmic disorders,95,Friedreich ataxia
233,Rare transplant-related disorders,95,Friedreich ataxia
150,Rare inborn errors of metabolism,96,Ataxia with vitamin E deficiency
156,Rare genetic diseases,96,Ataxia with vitamin E deficiency
181,Rare neurological diseases,96,Ataxia with vitamin E deficiency
189,Rare ophthalmic disorders,96,Ataxia with vitamin E deficiency
156,Rare genetic diseases,97,Familial paroxysmal ataxia
181,Rare neurological diseases,97,Familial paroxysmal ataxia
156,Rare genetic diseases,98,Autosomal recessive spastic ataxia of Charlevoix-Saguenay
181,Rare neurological diseases,98,Autosomal recessive spastic ataxia of Charlevoix-Saguenay
156,Rare genetic diseases,99,Autosomal dominant cerebellar ataxia
181,Rare neurological diseases,99,Autosomal dominant cerebellar ataxia
147,Rare developmental anomalies during embryogenesis,100,Ataxia-telangiectasia
156,Rare genetic diseases,100,Ataxia-telangiectasia
181,Rare neurological diseases,100,Ataxia-telangiectasia
187,Rare skin diseases,100,Ataxia-telangiectasia
189,Rare ophthalmic disorders,100,Ataxia-telangiectasia
193,Rare endocrine diseases,100,Ataxia-telangiectasia
195,Rare immunological diseases,100,Ataxia-telangiectasia
202,Rare neoplastic diseases,100,Ataxia-telangiectasia
205,Rare gynecological and obstetric diseases,100,Ataxia-telangiectasia
233,Rare transplant-related disorders,100,Ataxia-telangiectasia
156,Rare genetic diseases,101,Dentatorubral pallidoluysian atrophy
181,Rare neurological diseases,101,Dentatorubral pallidoluysian atrophy
181,Rare neurological diseases,102,Multiple system atrophy
150,Rare inborn errors of metabolism,104,Leber hereditary optic neuropathy
156,Rare genetic diseases,104,Leber hereditary optic neuropathy
189,Rare ophthalmic disorders,104,Leber hereditary optic neuropathy
147,Rare developmental anomalies during embryogenesis,105,Atresia of urethra
156,Rare genetic diseases,105,Atresia of urethra
185,Rare urogenital diseases,105,Atresia of urethra
188,Rare renal diseases,105,Atresia of urethra
233,Rare transplant-related disorders,105,Atresia of urethra
147,Rare developmental anomalies during embryogenesis,107,BOR syndrome
156,Rare genetic diseases,107,BOR syndrome
188,Rare renal diseases,107,BOR syndrome
199,Rare bone diseases,107,BOR syndrome
200,Rare otorhinolaryngological diseases,107,BOR syndrome
209,Rare surgical maxillo-facial diseases,107,BOR syndrome
233,Rare transplant-related disorders,107,BOR syndrome
203,Rare infectious diseases,108,Babesiosis
147,Rare developmental anomalies during embryogenesis,109,Bannayan-Riley-Ruvalcaba syndrome
152,Rare gastroenterological diseases,109,Bannayan-Riley-Ruvalcaba syndrome
156,Rare genetic diseases,109,Bannayan-Riley-Ruvalcaba syndrome
181,Rare neurological diseases,109,Bannayan-Riley-Ruvalcaba syndrome
187,Rare skin diseases,109,Bannayan-Riley-Ruvalcaba syndrome
198,Rare circulatory system diseases,109,Bannayan-Riley-Ruvalcaba syndrome
202,Rare neoplastic diseases,109,Bannayan-Riley-Ruvalcaba syndrome
233,Rare transplant-related disorders,109,Bannayan-Riley-Ruvalcaba syndrome
147,Rare developmental anomalies during embryogenesis,110,Bardet-Biedl syndrome
152,Rare gastroenterological diseases,110,Bardet-Biedl syndrome
156,Rare genetic diseases,110,Bardet-Biedl syndrome
181,Rare neurological diseases,110,Bardet-Biedl syndrome
182,Rare abdominal surgical diseases,110,Bardet-Biedl syndrome
188,Rare renal diseases,110,Bardet-Biedl syndrome
189,Rare ophthalmic disorders,110,Bardet-Biedl syndrome
193,Rare endocrine diseases,110,Bardet-Biedl syndrome
201,Rare infertility disorders,110,Bardet-Biedl syndrome
205,Rare gynecological and obstetric diseases,110,Bardet-Biedl syndrome
233,Rare transplant-related disorders,110,Bardet-Biedl syndrome
146,Rare cardiac diseases,111,Barth syndrome
150,Rare inborn errors of metabolism,111,Barth syndrome
156,Rare genetic diseases,111,Barth syndrome
181,Rare neurological diseases,111,Barth syndrome
195,Rare immunological diseases,111,Barth syndrome
233,Rare transplant-related disorders,111,Barth syndrome
156,Rare genetic diseases,112,Bartter syndrome
188,Rare renal diseases,112,Bartter syndrome
147,Rare developmental anomalies during embryogenesis,113,Bazex-Dupré-Christol syndrome
156,Rare genetic diseases,113,Bazex-Dupré-Christol syndrome
187,Rare skin diseases,113,Bazex-Dupré-Christol syndrome
202,Rare neoplastic diseases,113,Bazex-Dupré-Christol syndrome
147,Rare developmental anomalies during embryogenesis,114,Auriculoosteodysplasia
156,Rare genetic diseases,114,Auriculoosteodysplasia
199,Rare bone diseases,114,Auriculoosteodysplasia
147,Rare developmental anomalies during embryogenesis,115,Congenital contractural arachnodactyly
156,Rare genetic diseases,115,Congenital contractural arachnodactyly
196,Rare systemic and rheumatological diseases,115,Congenital contractural arachnodactyly
199,Rare bone diseases,115,Congenital contractural arachnodactyly
146,Rare cardiac diseases,116,Beckwith-Wiedemann syndrome
147,Rare developmental anomalies during embryogenesis,116,Beckwith-Wiedemann syndrome
156,Rare genetic diseases,116,Beckwith-Wiedemann syndrome
188,Rare renal diseases,116,Beckwith-Wiedemann syndrome
200,Rare otorhinolaryngological diseases,116,Beckwith-Wiedemann syndrome
202,Rare neoplastic diseases,116,Beckwith-Wiedemann syndrome
209,Rare surgical maxillo-facial diseases,116,Beckwith-Wiedemann syndrome
233,Rare transplant-related disorders,116,Beckwith-Wiedemann syndrome
181,Rare neurological diseases,117,Behçet disease
187,Rare skin diseases,117,Behçet disease
188,Rare renal diseases,117,Behçet disease
189,Rare ophthalmic disorders,117,Behçet disease
196,Rare systemic and rheumatological diseases,117,Behçet disease
198,Rare circulatory system diseases,117,Behçet disease
231,Rare systemic or rheumatologic diseases of childhood,117,Behçet disease
233,Rare transplant-related disorders,117,Behçet disease
146,Rare cardiac diseases,118,Beta-mannosidosis
150,Rare inborn errors of metabolism,118,Beta-mannosidosis
156,Rare genetic diseases,118,Beta-mannosidosis
181,Rare neurological diseases,118,Beta-mannosidosis
199,Rare bone diseases,118,Beta-mannosidosis
233,Rare transplant-related disorders,118,Beta-mannosidosis
146,Rare cardiac diseases,119,Beta-sarcoglycan-related limb-girdle muscular dystrophy R4
156,Rare genetic diseases,119,Beta-sarcoglycan-related limb-girdle muscular dystrophy R4
181,Rare neurological diseases,119,Beta-sarcoglycan-related limb-girdle muscular dystrophy R4
233,Rare transplant-related disorders,119,Beta-sarcoglycan-related limb-girdle muscular dystrophy R4
156,Rare genetic diseases,122,Birt-Hogg-Dubé syndrome
184,Rare respiratory diseases,122,Birt-Hogg-Dubé syndrome
187,Rare skin diseases,122,Birt-Hogg-Dubé syndrome
188,Rare renal diseases,122,Birt-Hogg-Dubé syndrome
202,Rare neoplastic diseases,122,Birt-Hogg-Dubé syndrome
233,Rare transplant-related disorders,122,Birt-Hogg-Dubé syndrome
150,Rare inborn errors of metabolism,123,Björnstad syndrome
156,Rare genetic diseases,123,Björnstad syndrome
181,Rare neurological diseases,123,Björnstad syndrome
187,Rare skin diseases,123,Björnstad syndrome
147,Rare developmental anomalies during embryogenesis,124,Diamond-Blackfan anemia
150,Rare inborn errors of metabolism,124,Diamond-Blackfan anemia
156,Rare genetic diseases,124,Diamond-Blackfan anemia
181,Rare neurological diseases,124,Diamond-Blackfan anemia
194,Rare hematological diseases,124,Diamond-Blackfan anemia
200,Rare otorhinolaryngological diseases,124,Diamond-Blackfan anemia
202,Rare neoplastic diseases,124,Diamond-Blackfan anemia
209,Rare surgical maxillo-facial diseases,124,Diamond-Blackfan anemia
233,Rare transplant-related disorders,124,Diamond-Blackfan anemia
147,Rare developmental anomalies during embryogenesis,125,Bloom syndrome
156,Rare genetic diseases,125,Bloom syndrome
181,Rare neurological diseases,125,Bloom syndrome
187,Rare skin diseases,125,Bloom syndrome
194,Rare hematological diseases,125,Bloom syndrome
195,Rare immunological diseases,125,Bloom syndrome
202,Rare neoplastic diseases,125,Bloom syndrome
233,Rare transplant-related disorders,125,Bloom syndrome
147,Rare developmental anomalies during embryogenesis,126,Blepharophimosis-ptosis-epicanthus inversus syndrome
156,Rare genetic diseases,126,Blepharophimosis-ptosis-epicanthus inversus syndrome
189,Rare ophthalmic disorders,126,Blepharophimosis-ptosis-epicanthus inversus syndrome
147,Rare developmental anomalies during embryogenesis,127,Borjeson-Forssman-Lehmann syndrome
156,Rare genetic diseases,127,Borjeson-Forssman-Lehmann syndrome
181,Rare neurological diseases,127,Borjeson-Forssman-Lehmann syndrome
189,Rare ophthalmic disorders,127,Borjeson-Forssman-Lehmann syndrome
193,Rare endocrine diseases,127,Borjeson-Forssman-Lehmann syndrome
203,Rare infectious diseases,128,Diphyllobothriasis
187,Rare skin diseases,129,Pseudopelade of Brocq
146,Rare cardiac diseases,130,Brugada syndrome
156,Rare genetic diseases,130,Brugada syndrome
183,Rare hepatic diseases,131,Budd-Chiari syndrome
233,Rare transplant-related disorders,131,Budd-Chiari syndrome
150,Rare inborn errors of metabolism,132,Hereditary butyrylcholinesterase deficiency
156,Rare genetic diseases,132,Hereditary butyrylcholinesterase deficiency
181,Rare neurological diseases,132,Hereditary butyrylcholinesterase deficiency
184,Rare respiratory diseases,133,Chronic beryllium disease
233,Rare transplant-related disorders,133,Chronic beryllium disease
150,Rare inborn errors of metabolism,134,Beta-ketothiolase deficiency
156,Rare genetic diseases,134,Beta-ketothiolase deficiency
181,Rare neurological diseases,134,Beta-ketothiolase deficiency
156,Rare genetic diseases,135,CACH syndrome
181,Rare neurological diseases,135,CACH syndrome
