ORPHAcode,simbolo_gen,nombre_gen
104,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
104,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
104,MT-CYB,mitochondrially encoded cytochrome b
104,MT-CO3,mitochondrially encoded cytochrome c oxidase III
104,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
107,SIX5,SIX homeobox 5
107,EYA1,EYA transcriptional coactivator and phosphatase 1
107,SIX1,SIX homeobox 1
109,PTEN,phosphatase and tensin homolog
110,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8
110,SCAPER,S-phase cyclin A associated protein in the ER
110,CFAP418,cilia and flagella associated protein 418
110,IFT172,intraflagellar transport 172
110,BBIP1,BBSome interacting protein 1
110,WDPCP,WD repeat containing planar cell polarity effector
110,BBS10,Bardet-Biedl syndrome 10
110,TTC8,tetratricopeptide repeat domain 8
110,ARL6,ADP ribosylation factor like GTPase 6
110,BBS12,Bardet-Biedl syndrome 12
110,NPHP1,nephrocystin 1
110,MKKS,MKKS centrosomal shuttling protein
110,MKS1,MKS transition zone complex subunit 1
110,IFT74,intraflagellar transport 74
110,IFT27,intraflagellar transport 27
110,BBS2,Bardet-Biedl syndrome 2
110,BBS4,Bardet-Biedl syndrome 4
110,BBS5,Bardet-Biedl syndrome 5
110,SCLT1,sodium channel and clathrin linker 1
110,BBS7,Bardet-Biedl syndrome 7
110,BBS9,Bardet-Biedl syndrome 9
110,CEP19,centrosomal protein 19
110,CEP290,centrosomal protein 290
110,TRIM32,tripartite motif containing 32
110,BBS1,Bardet-Biedl syndrome 1
110,LZTFL1,leucine zipper transcription factor like 1
111,TAFAZZIN,"tafazzin, phospholipid-lysophospholipid transacylase"
115,FBN2,fibrillin 2
117,TLR4,toll like receptor 4
117,ERAP1,endoplasmic reticulum aminopeptidase 1
117,IFNGR1,interferon gamma receptor 1
117,CCR1,C-C motif chemokine receptor 1
117,UBAC2,UBA domain containing 2
117,HLA-B,"major histocompatibility complex, class I, B"
117,IL12A-AS1,IL12A antisense RNA 1
117,IL10,interleukin 10
117,IL23R,interleukin 23 receptor
117,STAT4,signal transducer and activator of transcription 4
117,MEFV,"MEFV innate immunity regulator, pyrin"
117,FAS,Fas cell surface death receptor
117,C4A,complement C4A (Chido/Rodgers blood group)
117,IL12A,interleukin 12A
117,KLRC4,killer cell lectin like receptor C4
118,MANBA,mannosidase beta
119,SGCB,sarcoglycan beta
122,FLCN,folliculin
122,PRDM10,PR/SET domain 10
123,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"
124,RPL9,ribosomal protein L9
124,RPS27,ribosomal protein S27
124,RPL8,ribosomal protein L8
124,RPL15,ribosomal protein L15
124,RPL18,ribosomal protein L18
124,RPL5,ribosomal protein L5
124,RPL35,ribosomal protein L35
124,RPL26,ribosomal protein L26
124,RPL35A,ribosomal protein L35a
124,RPS28,ribosomal protein S28
124,TSR2,TSR2 ribosome maturation factor
124,RPS20,ribosomal protein S20
124,RPL31,ribosomal protein L31
124,RPL27,ribosomal protein L27
124,RPS29,ribosomal protein S29
124,HEATR3,HEAT repeat containing 3
124,RPS26,ribosomal protein S26
124,RPS24,ribosomal protein S24
124,RPL11,ribosomal protein L11
124,ADA2,adenosine deaminase 2
124,RPS19,ribosomal protein S19
124,RPS10,ribosomal protein S10
124,RPS17,ribosomal protein S17
124,GATA1,GATA binding protein 1
124,RPS7,ribosomal protein S7
124,RPS15A,ribosomal protein S15a
125,BLM,BLM RecQ like helicase
127,PHF6,PHD finger protein 6
130,KCNE5,potassium voltage-gated channel subfamily E regulatory subunit 5
130,SCN10A,sodium voltage-gated channel alpha subunit 10
130,AKAP9,A-kinase anchoring protein 9
130,SCN5A,sodium voltage-gated channel alpha subunit 5
130,CACNA1C,calcium voltage-gated channel subunit alpha1 C
130,SCN3B,sodium voltage-gated channel beta subunit 3
130,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4
130,SCN1B,sodium voltage-gated channel beta subunit 1
130,SCN2B,sodium voltage-gated channel beta subunit 2
130,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3
130,KCND3,potassium voltage-gated channel subfamily D member 3
130,SEMA3A,semaphorin 3A
130,SCNN1A,sodium channel epithelial 1 subunit alpha
130,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2
130,GPD1L,glycerol-3-phosphate dehydrogenase 1 like
130,KCNJ8,potassium inwardly rectifying channel subfamily J member 8
130,PKP2,plakophilin 2
130,SLMAP,sarcolemma associated protein
130,TRPM4,transient receptor potential cation channel subfamily M member 4
130,ABCC9,ATP binding cassette subfamily C member 9
130,RANGRF,RAN guanine nucleotide release factor
