ORPHAcode,simbolo_gen,nombre_gen
1063,GNA14,G protein subunit alpha 14
1065,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
1065,PAX6,paired box 6
1072,TP63,tumor protein p63
1106,SMOC1,SPARC related modular calcium binding 1
1114,ITGB4,integrin subunit beta 4
1114,DLL4,delta like canonical Notch ligand 4
1114,BMS1,BMS1 ribosome biogenesis factor
1114,PLEC,plectin
1114,UBA2,ubiquitin like modifier activating enzyme 2
1143,COL25A1,collagen type XXV alpha 1 chain
1143,ERGIC1,endoplasmic reticulum-golgi intermediate compartment 1
1143,SCYL2,SCY1 like pseudokinase 2
1145,UBA1,ubiquitin like modifier activating enzyme 1
1146,TPM2,tropomyosin 2
1146,NALCN,"sodium leak channel, non-selective"
1146,MYBPC1,myosin binding protein C1
1146,MYH3,myosin heavy chain 3
1146,TNNT3,"troponin T3, fast skeletal type"
1146,TNNI2,"troponin I2, fast skeletal type"
1147,TPM2,tropomyosin 2
1147,MYH3,myosin heavy chain 3
1147,TNNI2,"troponin I2, fast skeletal type"
1147,NALCN,"sodium leak channel, non-selective"
1147,TNNT3,"troponin T3, fast skeletal type"
1149,FKBP10,FKBP prolyl isomerase 10
1154,PIEZO2,piezo type mechanosensitive ion channel component 2
1159,CCN6,cellular communication network factor 6
1168,APTX,aprataxin
1170,PMPCA,"peptidase, mitochondrial processing subunit alpha"
1171,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3
1173,RNF216,ring finger protein 216
1173,PNPLA6,patatin like phospholipase domain containing 6
1175,GJB1,gap junction protein beta 1
1180,PNPLA6,patatin like phospholipase domain containing 6
1186,TWNK,twinkle mtDNA helicase
1187,PRPS1,phosphoribosyl pyrophosphate synthetase 1
1190,FLNB,filamin B
1194,TMEM70,transmembrane protein 70
1195,TF,transferrin
1200,TXNL4A,thioredoxin like 4A
1200,POLR1A,RNA polymerase I subunit A
1215,OPA1,OPA1 mitochondrial dynamin like GTPase
1216,TRPV4,transient receptor potential cation channel subfamily V member 4
1225,RECQL4,RecQ like helicase 4
1226,FOXE1,forkhead box E1
1229,OCLN,occludin
1231,TWIST2,twist family bHLH transcription factor 2
1234,RIPK4,receptor interacting serine/threonine kinase 4
1239,OPA1,OPA1 mitochondrial dynamin like GTPase
1243,BEST1,bestrophin 1
1263,FLNB,filamin B
1270,EMG1,EMG1 N1-specific pseudouridine methyltransferase
1272,MAF,MAF bZIP transcription factor
1275,MACROH2A1,macroH2A.1 histone
1275,PITX1,paired like homeodomain 1
1276,PDE3A,phosphodiesterase 3A
1297,TFAP2A,transcription factor AP-2 alpha
1299,CDH11,cadherin 11
1300,IRF6,interferon regulatory factor 6
1308,CD96,CD96 molecule
1309,HNF1B,HNF1 homeobox B
1310,COL1A1,collagen type I alpha 1 chain
1328,TGFB1,transforming growth factor beta 1
1331,BRCA1,BRCA1 DNA repair associated
1331,MSMB,microseminoprotein beta
1331,BRCA2,BRCA2 DNA repair associated
1331,NBN,nibrin
1331,ATM,ATM serine/threonine kinase
1331,CDH1,cadherin 1
1331,CHEK2,checkpoint kinase 2
1331,HOXB13,homeobox B13
1331,EPHB2,EPH receptor B2
1331,RAD51D,RAD51 paralog D
1331,MSR1,macrophage scavenger receptor 1
1331,ELAC2,elaC ribonuclease Z 2
1331,SRD5A2,steroid 5 alpha-reductase 2
1331,HNF1B,HNF1 homeobox B
1331,RNASEL,ribonuclease L
1333,PALLD,"palladin, cytoskeletal associated protein"
1333,CDKN2A,cyclin dependent kinase inhibitor 2A
1333,SMAD4,SMAD family member 4
1333,BRCA2,BRCA2 DNA repair associated
1333,RABL3,"RAB, member of RAS oncogene family like 3"
1333,PALB2,partner and localizer of BRCA2
1333,BRCA1,BRCA1 DNA repair associated
1333,TP53,tumor protein p53
1333,KRAS,"KRAS proto-oncogene, GTPase"
1334,CLEC7A,C-type lectin domain containing 7A
1334,IL17RC,interleukin 17 receptor C
1334,TRAF3IP2,TRAF3 interacting protein 2
1334,IL17F,interleukin 17F
1334,IL17RA,interleukin 17 receptor A
1338,WDPCP,WD repeat containing planar cell polarity effector
1340,MAP2K1,mitogen-activated protein kinase kinase 1
1340,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
1340,MAP2K2,mitogen-activated protein kinase kinase 2
1340,KRAS,"KRAS proto-oncogene, GTPase"
1344,NPPA,natriuretic peptide A
1344,SCN5A,sodium voltage-gated channel alpha subunit 5
1349,MT-TK,mitochondrially encoded tRNA-Lys (AAA/G)
1358,MYMX,"myomixer, myoblast fusion factor"
1358,MYMK,"myomaker, myoblast fusion factor"
1359,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha
1359,PDE11A,phosphodiesterase 11A
1366,LSS,lanosterol synthase
1369,SLC25A4,solute carrier family 25 member 4
1369,TKFC,triokinase and FMN cyclase
1369,AGK,acylglycerol kinase
1377,CRYGD,crystallin gamma D
1377,CRYGC,crystallin gamma C
1377,CRYBA4,crystallin beta A4
1377,GJA8,gap junction protein alpha 8
1377,MAF,MAF bZIP transcription factor
1377,CRYAA,crystallin alpha A
1377,CRYBB1,crystallin beta B1
1377,CRYBB2,crystallin beta B2
1387,RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1
1387,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2
1388,TGDS,"TDP-glucose 4,6-dehydratase"
1393,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1
1394,TMCO1,transmembrane and coiled-coil domains 1
1401,RIPK4,receptor interacting serine/threonine kinase 4
1410,PADI3,peptidyl arginine deiminase 3
1410,TGM3,transglutaminase 3
1412,NOG,noggin
1415,MED12,mediator complex subunit 12
1416,TNFRSF11B,TNF receptor superfamily member 11b
1416,ANKH,ANKH inorganic pyrophosphate transport regulator
1422,HHAT,hedgehog acyltransferase
1425,CANT1,calcium activated nucleotidase 1
1425,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1
1425,XYLT1,xylosyltransferase 1
1426,LBR,lamin B receptor
1427,COL11A2,collagen type XI alpha 2 chain
1429,NKX2-1,NK2 homeobox 1
1429,ADCY5,adenylate cyclase 5
1435,POU3F4,POU class 3 homeobox 4
1451,NLRP3,NLR family pyrin domain containing 3
1452,RUNX2,RUNX family transcription factor 2
1454,INPP5E,inositol polyphosphate-5-phosphatase E
1454,CC2D2A,coiled-coil and C2 domain containing 2A
1454,TMEM67,transmembrane protein 67
1454,RPGRIP1L,RPGRIP1 like
1458,LONP1,"lon peptidase 1, mitochondrial"
1460,UQCRC2,ubiquinol-cytochrome c reductase core protein 2
1460,TTC19,tetratricopeptide repeat domain 19
1460,CYC1,cytochrome c1
1460,UQCC3,ubiquinol-cytochrome c reductase complex assembly factor 3
1460,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"
1460,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII
1460,UQCC2,ubiquinol-cytochrome c reductase complex assembly factor 2
1460,LYRM7,LYR motif containing 7
1460,MT-CYB,mitochondrially encoded cytochrome b
1460,UQCRB,ubiquinol-cytochrome c reductase binding protein
1460,UQCRFS1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
1465,SOX4,SRY-box transcription factor 4
1465,ARID2,AT-rich interaction domain 2
1465,ARID1A,AT-rich interaction domain 1A
1465,ARID1B,AT-rich interaction domain 1B
1465,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"
1465,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"
1465,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
1465,SOX11,SRY-box transcription factor 11
1465,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
1465,SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2"
1465,DPF2,double PHD fingers 2
1466,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
1466,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit"
1466,ERCC5,"ERCC excision repair 5, endonuclease"
1466,ERCC6,"ERCC excision repair 6, chromatin remodeling factor"
1473,YAP1,Yes1 associated transcriptional regulator
1475,PAX2,paired box 2
1479,NKX2-5,NK2 homeobox 5
1486,GLE1,GLE1 RNA export mediator
1490,SLC4A11,solute carrier family 4 member 11
1493,EPG5,ectopic P-granules 5 autophagy tethering factor
1496,SLC12A6,solute carrier family 12 member 6
1497,L1CAM,L1 cell adhesion molecule
1501,CTNNB1,catenin beta 1
1501,TP53,tumor protein p53
1501,ZNRF3,zinc and ring finger 3
1501,TP53,tumor protein p53
1501,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha
1501,TERT,telomerase reverse transcriptase
1501,CDKN2A,cyclin dependent kinase inhibitor 2A
1507,ROR2,receptor tyrosine kinase like orphan receptor 2
1507,NXN,nucleoredoxin
1509,TBX4,T-box transcription factor 4
1513,SP7,Sp7 transcription factor
1513,SOST,sclerostin
1515,IFT52,intraflagellar transport 52
1515,IFT43,intraflagellar transport 43
1515,WDR35,WD repeat domain 35
1515,WDR19,WD repeat domain 19
1515,IFT122,intraflagellar transport 122
1517,KCNJ8,potassium inwardly rectifying channel subfamily J member 8
1517,ABCC9,ATP binding cassette subfamily C member 9
1519,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like
1520,EFNB1,ephrin B1
1522,ANKH,ANKH inorganic pyrophosphate transport regulator
1522,GJA1,gap junction protein alpha 1
1525,HPGD,15-hydroxyprostaglandin dehydrogenase
1529,PAX3,paired box 3
1540,FGFR2,fibroblast growth factor receptor 2
1541,MSX2,msh homeobox 2
1545,CRLF1,cytokine receptor like factor 1
1545,CLCF1,cardiotrophin like cytokine factor 1
1552,MNX1,motor neuron and pancreas homeobox 1
1553,SMO,"smoothened, frizzled class receptor"
1555,FGFR2,fibroblast growth factor receptor 2
1556,ARL6IP6,ADP ribosylation factor like GTPase 6 interacting protein 6
1556,GNA11,G protein subunit alpha 11
1561,SCO2,synthesis of cytochrome C oxidase 2
1561,COA5,cytochrome c oxidase assembly factor 5
1561,COX15,cytochrome c oxidase assembly homolog COX15
1561,COA6,cytochrome c oxidase assembly factor 6
1561,SCO1,synthesis of cytochrome C oxidase 1
1568,AP1S2,adaptor related protein complex 1 subunit sigma 2
1571,PAK2,p21 (RAC1) activated kinase 2
1571,COL18A1,collagen type XVIII alpha 1 chain
1572,TNFRSF13B,TNF receptor superfamily member 13B
1572,MS4A1,membrane spanning 4-domains A1
1572,TNFRSF13C,TNF receptor superfamily member 13C
1572,TNFSF12,TNF superfamily member 12
1572,CR2,complement C3d receptor 2
1572,ICOS,inducible T cell costimulator
1572,NFKB1,nuclear factor kappa B subunit 1
1572,CD19,CD19 molecule
1572,CD81,CD81 molecule
1572,TNFSF12,TNF superfamily member 12
1572,NFKB2,nuclear factor kappa B subunit 2
1572,IRF2BP2,interferon regulatory factor 2 binding protein 2
1573,CDH3,cadherin 3
1578,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1
1587,RB1,RB transcriptional corepressor 1
1596,MCTP2,multiple C2 and transmembrane domain containing 2
1606,PDPN,podoplanin
1606,PRKCZ,protein kinase C zeta
1606,CASZ1,castor zinc finger 1
1606,LUZP1,leucine zipper protein 1
1606,PRDM16,PR/SET domain 16
1606,GABRD,gamma-aminobutyric acid type A receptor subunit delta
1606,SPEN,spen family transcriptional repressor
1606,MMP23B,matrix metallopeptidase 23B
1606,RERE,arginine-glutamic acid dipeptide repeats
1606,SKI,SKI proto-oncogene
1606,UBE4B,ubiquitination factor E4B
1606,HSPG2,heparan sulfate proteoglycan 2
1606,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2
1617,TBR1,T-box brain transcription factor 1
1617,NR4A2,nuclear receptor subfamily 4 group A member 2
1627,NSD1,nuclear receptor binding SET domain protein 1
1627,NKX2-5,NK2 homeobox 5
1646,RBMY1A1,RNA binding motif protein Y-linked family 1 member A1
1646,TSPY1,testis specific protein Y-linked 1
1646,AZF1,azoospermia factor 1
1646,DAZ4,deleted in azoospermia 4
1646,DDX3Y,DEAD-box helicase 3 Y-linked
1646,DAZ3,deleted in azoospermia 3
1646,DAZ2,deleted in azoospermia 2
1646,DAZ1,deleted in azoospermia 1
1646,USP9Y,ubiquitin specific peptidase 9 Y-linked
1658,SMARCAD1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1"
1662,LMNA,lamin A/C
1662,ZMPSTE24,zinc metallopeptidase STE24
1667,EIF2AK3,eukaryotic translation initiation factor 2 alpha kinase 3
1675,DPYD,dihydropyrimidine dehydrogenase
1713,RAI1,retinoic acid induced 1
1727,TBX1,T-box transcription factor 1
1762,MECP2,methyl-CpG binding protein 2
1764,ELP1,elongator complex protein 1
1766,TUBB2B,tubulin beta 2B class IIb
1766,CA8,carbonic anhydrase 8
1766,ATP8A2,ATPase phospholipid transporting 8A2
1766,VLDLR,very low density lipoprotein receptor
1766,WDR81,WD repeat domain 81
1772,SRY,sex determining region Y
1775,CTC1,CST telomere replication complex component 1
1775,NPM1,nucleophosmin 1
1775,WRAP53,WD repeat containing antisense to TP53
1775,TERC,telomerase RNA component
1775,USB1,U6 snRNA biogenesis phosphodiesterase 1
1775,NOP10,NOP10 ribonucleoprotein
1775,TINF2,TERF1 interacting nuclear factor 2
1775,RTEL1,regulator of telomere elongation helicase 1
1775,DKC1,dyskerin pseudouridine synthase 1
1775,TYMS,thymidylate synthetase
1775,TERT,telomerase reverse transcriptase
1775,PARN,poly(A)-specific ribonuclease
1775,NHP2,NHP2 ribonucleoprotein
1777,C12ORF57,chromosome 12 open reading frame 57
1782,TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"
1782,SLC29A3,solute carrier family 29 member 3
1782,TNFRSF11A,TNF receptor superfamily member 11a
1788,SF3B4,splicing factor 3b subunit 4
1797,TBX6,T-box transcription factor 6
1802,TBXAS1,thromboxane A synthase 1
1807,TWIST2,twist family bHLH transcription factor 2
1810,EDAR,ectodysplasin A receptor
1810,TRAF6,TNF receptor associated factor 6
1810,EDARADD,EDAR associated via death domain
1810,KDF1,keratinocyte differentiation factor 1
1824,RNU4ATAC,"RNA, U4atac small nuclear"
1826,FLNA,filamin A
1826,MAP3K7,mitogen-activated protein kinase kinase kinase 7
1827,ZSWIM6,zinc finger SWIM-type containing 6
1830,SMARCAL1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"
1832,FAM20C,FAM20C golgi associated secretory pathway kinase
1848,WNT9B,Wnt family member 9B
1848,GFRA1,GDNF family receptor alpha 1
1848,GREB1L,GREB1 like retinoic acid receptor coactivator
1848,FGF20,fibroblast growth factor 20
1848,RET,ret proto-oncogene
1848,ITGA8,integrin subunit alpha 8
1855,ACP5,"acid phosphatase 5, tartrate resistant"
1856,COL2A1,collagen type II alpha 1 chain
1860,FGFR3,fibroblast growth factor receptor 3
1865,HSPG2,heparan sulfate proteoglycan 2
1871,CNGB3,cyclic nucleotide gated channel subunit beta 3
1871,GUCA1A,guanylate cyclase activator 1A
1871,GNAT2,G protein subunit alpha transducin 2
1871,PDE6C,phosphodiesterase 6C
1872,UNC119,unc-119 lipid binding chaperone
1872,GUCY2D,"guanylate cyclase 2D, retinal"
1872,GUCA1A,guanylate cyclase activator 1A
1872,ADAM9,ADAM metallopeptidase domain 9
1872,RPGR,retinitis pigmentosa GTPase regulator
1872,RIMS1,regulating synaptic membrane exocytosis 1
1872,OPN1MW,"opsin 1, medium wave sensitive"
1872,RAB28,"RAB28, member RAS oncogene family"
1872,PROM1,prominin 1
1872,NMNAT1,nicotinamide nucleotide adenylyltransferase 1
1872,TLCD3B,TLC domain containing 3B
1872,CACNA1F,calcium voltage-gated channel subunit alpha1 F
1872,PITPNM3,PITPNM family member 3
1872,ATF6,activating transcription factor 6
1872,AIPL1,aryl hydrocarbon receptor interacting protein like 1
1872,OPN1LW,"opsin 1, long wave sensitive"
1872,DRAM2,DNA damage regulated autophagy modulator 2
1872,TTLL5,tubulin tyrosine ligase like 5
1872,CNGA3,cyclic nucleotide gated channel subunit alpha 3
1872,RAX2,retina and anterior neural fold homeobox 2
1872,CFAP410,cilia and flagella associated protein 410
1872,CACNA2D4,calcium voltage-gated channel auxiliary subunit alpha2delta 4
1872,PRPH2,peripherin 2
1872,CFAP418,cilia and flagella associated protein 418
1872,CDHR1,cadherin related family member 1
1872,ABCA4,ATP binding cassette subfamily A member 4
1872,RPGRIP1,RPGR interacting protein 1
1872,POC1B,POC1 centriolar protein B
1872,SEMA4A,semaphorin 4A
1872,CRX,cone-rod homeobox
1873,CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4
1878,TRIM32,tripartite motif containing 32
1879,LEMD3,LEM domain containing 3
1880,MYH7,myosin heavy chain 7
1885,FBN1,fibrillin 1
1885,ADAMTSL4,ADAMTS like 4
1896,TP63,tumor protein p63
1897,CDH3,cadherin 3
1899,COL1A1,collagen type I alpha 1 chain
1899,COL1A2,collagen type I alpha 2 chain
1900,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
1901,ADAMTSL2,ADAMTS like 2
1901,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
1930,TLR3,toll like receptor 3
1930,TICAM1,TIR domain containing adaptor molecule 1
1930,TRAF3,TNF receptor associated factor 3
1930,UNC93B1,"unc-93 homolog B1, TLR signaling regulator"
1930,TBK1,TANK binding kinase 1
1933,SUCLA2,succinate-CoA ligase ADP-forming subunit beta
1934,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q
1934,CDKL5,cyclin dependent kinase like 5
1934,PIGP,phosphatidylinositol glycan anchor biosynthesis class P
1934,SCN1B,sodium voltage-gated channel beta subunit 1
1934,GRM7,glutamate metabotropic receptor 7
1934,CASK,calcium/calmodulin dependent serine protein kinase
1934,KCNA1,potassium voltage-gated channel subfamily A member 1
1934,TRIM8,tripartite motif containing 8
1934,PNKP,polynucleotide kinase 3'-phosphatase
1934,SCN2A,sodium voltage-gated channel alpha subunit 2
1934,GRIN1,glutamate ionotropic receptor NMDA type subunit 1
1934,SIK1,salt inducible kinase 1
1934,DMXL2,Dmx like 2
1934,ARX,aristaless related homeobox
1934,GNAO1,G protein subunit alpha o1
1934,NEUROD2,neuronal differentiation 2
1934,SLC25A22,solute carrier family 25 member 22
1934,SLC32A1,solute carrier family 32 member 1
1941,EFHC1,EF-hand domain containing 1
1942,AP2M1,adaptor related protein complex 2 subunit mu 1
1942,SCN1A,sodium voltage-gated channel alpha subunit 1
1942,SLC2A1,solute carrier family 2 member 1
1942,CHD2,chromodomain helicase DNA binding protein 2
1942,NEXMIF,neurite extension and migration factor
1942,SYNGAP1,synaptic Ras GTPase activating protein 1
1942,SLC6A1,solute carrier family 6 member 1
1945,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A
1945,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2
1945,SRPX2,sushi repeat containing protein X-linked 2
1946,ROGDI,rogdi atypical leucine zipper
1946,SLC13A5,solute carrier family 13 member 5
1947,CLN8,CLN8 transmembrane ER and ERGIC protein
1949,KCNQ2,potassium voltage-gated channel subfamily Q member 2
1949,KCNQ3,potassium voltage-gated channel subfamily Q member 3
1955,ELOVL4,ELOVL fatty acid elongase 4
1980,JAM2,junctional adhesion molecule 2
1980,MYORG,myogenesis regulating glycosidase (putative)
1980,PDGFB,platelet derived growth factor subunit B
1980,XPR1,xenotropic and polytropic retrovirus receptor 1
1980,SLC20A2,solute carrier family 20 member 2
1980,PDGFRB,platelet derived growth factor receptor beta
1986,BHLHA9,basic helix-loop-helix family member a9
1997,CDH1,cadherin 1
1997,CTNND1,catenin delta 1
2020,ACTA1,"actin alpha 1, skeletal muscle"
2020,MYL2,myosin light chain 2
2020,ITGA7,integrin subunit alpha 7
2020,TPM3,tropomyosin 3
2020,MAP3K20,mitogen-activated protein kinase kinase kinase 20
2020,HACD1,3-hydroxyacyl-CoA dehydratase 1
2020,TPM2,tropomyosin 2
2020,SELENON,selenoprotein N
2021,COL11A1,collagen type XI alpha 1 chain
2021,COL11A2,collagen type XI alpha 2 chain
2024,REST,RE1 silencing transcription factor
2024,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1
2024,GINGF2,"gingival fibromatosis, hereditary, 2"
2026,ABCA5,ATP binding cassette subfamily A member 5
2028,ANTXR2,ANTXR cell adhesion molecule 2
2030,NTRK3,neurotrophic receptor tyrosine kinase 3
2030,ETV6,ETS variant transcription factor 6
2032,SFTPC,surfactant protein C
2032,DSP,desmoplakin
2032,RTEL1,regulator of telomere elongation helicase 1
2032,TERT,telomerase reverse transcriptase
2032,SFTPA1,surfactant protein A1
2032,PARN,poly(A)-specific ribonuclease
2032,MUC5B,"mucin 5B, oligomeric mucus/gel-forming"
2032,ATP11A,ATPase phospholipid transporting 11A
2032,ABCA3,ATP binding cassette subfamily A member 3
2032,FAM13A,family with sequence similarity 13 member A
2032,TERC,telomerase RNA component
2032,STN1,STN1 subunit of CST complex
2032,DPP9,dipeptidyl peptidase 9
2032,SFTPA2,surfactant protein A2
2036,KCTD1,potassium channel tetramerization domain containing 1
2044,SRCAP,Snf2 related CREBBP activator protein
2050,P4HB,prolyl 4-hydroxylase subunit beta
2050,CRTAP,cartilage associated protein
2050,SEC24D,"SEC24 homolog D, COPII coat complex component"
2052,FRAS1,Fraser extracellular matrix complex subunit 1
2052,GRIP1,glutamate receptor interacting protein 1
2052,FREM2,FRAS1 related extracellular matrix 2
2053,MYH3,myosin heavy chain 3
2053,NALCN,"sodium leak channel, non-selective"
2056,KHK,ketohexokinase
2059,PIGN,phosphatidylinositol glycan anchor biosynthesis class N
2065,GON7,GON7 subunit of KEOPS complex
2065,TP53RK,TP53 regulating kinase
2065,YRDC,yrdC N6-threonylcarbamoyltransferase domain containing
2065,TPRKB,TP53RK binding protein
2065,NUP107,nucleoporin 107
2065,LAGE3,L antigen family member 3
2065,WDR73,WD repeat domain 73
2065,WDR4,WD repeat domain 4
2065,NUP133,nucleoporin 133
2065,OSGEP,O-sialoglycoprotein endopeptidase
2066,ABAT,4-aminobutyrate aminotransferase
2067,ANTXR1,ANTXR cell adhesion molecule 1
2072,GBA1,glucosylceramidase beta 1
2073,P2RY11,purinergic receptor P2Y11
2073,TNFSF4,TNF superfamily member 4
2073,ZNF365,zinc finger protein 365
2073,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1"
2073,CTSH,cathepsin H
2073,HCRT,hypocretin neuropeptide precursor
2073,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1"
2073,MOG,myelin oligodendrocyte glycoprotein
2078,GORAB,"golgin, RAB6 interacting"
2078,PYCR1,pyrroline-5-carboxylate reductase 1
2084,FBN1,fibrillin 1
2088,SLC2A2,solute carrier family 2 member 2
2089,GYS2,glycogen synthase 2
2092,PORCN,porcupine O-acyltransferase
2095,SLC25A24,solute carrier family 25 member 24
2098,GDF5,growth differentiation factor 5
2098,BMPR1B,bone morphogenetic protein receptor type 1B
2102,GCH1,GTP cyclohydrolase 1
2108,CHD6,chromodomain helicase DNA binding protein 6
2114,UFSP2,UFM1 specific peptidase 2
2116,CLTRN,"collectrin, amino acid transport regulator"
2116,SLC6A19,solute carrier family 6 member 19
2117,FGFR1,fibroblast growth factor receptor 1
2118,HPD,4-hydroxyphenylpyruvate dioxygenase
2122,GNA14,G protein subunit alpha 14
2126,NAB2,NGFI-A binding protein 2
2126,STAT6,signal transducer and activator of transcription 6
2128,IGF2,insulin like growth factor 2
2128,KCNQ1OT1,KCNQ1 opposite strand/antisense transcript 1
2128,H19,H19 imprinted maternally expressed transcript
2131,CACNA1A,calcium voltage-gated channel subunit alpha1 A
2131,SLC1A3,solute carrier family 1 member 3
2131,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
2131,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3
2132,HBB,hemoglobin subunit beta
2133,HBB,hemoglobin subunit beta
2136,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3
2136,FAT4,FAT atypical cadherin 4
2136,CCBE1,collagen and calcium binding EGF domains 1
2138,SOX9,SRY-box transcription factor 9
2138,NR5A1,nuclear receptor subfamily 5 group A member 1
2138,SRY,sex determining region Y
2140,LONP1,"lon peptidase 1, mitochondrial"
2140,GATA6,GATA binding protein 6
2140,ZFPM2,"zinc finger protein, FOG family member 2"
2143,LRP2,LDL receptor related protein 2
2148,DCX,doublecortin
2151,PHOX2B,paired like homeobox 2B
2157,HAL,histidine ammonia-lyase
2169,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase
2170,MTR,5-methyltetrahydrofolate-homocysteine methyltransferase
2176,ANTXR2,ANTXR cell adhesion molecule 2
2177,NDE1,nudE neurodevelopment protein 1
2182,L1CAM,L1 cell adhesion molecule
2189,KIF7,kinesin family member 7
2189,HYLS1,HYLS1 centriolar and ciliogenesis associated
2195,SLC1A1,solute carrier family 1 member 1
2196,CLDN19,claudin 19
2197,ADCY10,adenylate cyclase 10
2198,RHBDF2,rhomboid 5 homolog 2
2199,KRT16,keratin 16
2199,KRT1,keratin 1
2199,KRT9,keratin 9
2202,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1
2202,GJB2,gap junction protein beta 2
2203,AASS,aminoadipate-semialdehyde synthase
2209,PAH,phenylalanine hydroxylase
2224,TDO2,"tryptophan 2,3-dioxygenase"
2228,MSX1,msh homeobox 1
2229,LMNA,lamin A/C
2237,GATA3,GATA binding protein 3
2239,GCM2,glial cells missing transcription factor 2
2241,MYLK,myosin light chain kinase
2241,ACTG2,"actin gamma 2, smooth muscle"
2241,LMOD1,leiomodin 1
2241,MYH11,myosin heavy chain 11
2248,NKX2-5,NK2 homeobox 5
2248,GJA1,gap junction protein alpha 1
2250,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
2253,PAX6,paired box 6
2254,EXOSC9,exosome component 9
2254,EXOSC8,exosome component 8
2254,EXOSC3,exosome component 3
2254,SLC25A46,solute carrier family 25 member 46
2254,AGTPBP1,ATP/GTP binding carboxypeptidase 1
2254,VRK1,VRK serine/threonine kinase 1
2255,GATA6,GATA binding protein 6
2268,HELLS,"helicase, lymphoid specific"
2268,CDCA7,cell division cycle associated 7
2268,ZBTB24,zinc finger and BTB domain containing 24
2268,UHRF1,ubiquitin like with PHD and ring finger domains 1
2268,DNMT3B,DNA methyltransferase 3 beta
2273,MBTPS2,"membrane bound transcription factor peptidase, site 2"
2289,NOTCH2NLC,notch 2 N-terminal like C
2290,STX3,syntaxin 3
2290,MYO5B,myosin VB
2297,INSR,insulin receptor
2300,TTC7A,tetratricopeptide repeat domain 7A
2301,CLMP,CXADR like membrane protein
2301,FLNA,filamin A
2307,SALL4,spalt like transcription factor 4
2308,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
2309,KRT6A,keratin 6A
2309,KRT6B,keratin 6B
2309,KRT16,keratin 16
2309,KRT17,keratin 17
2311,DLL3,delta like canonical Notch ligand 3
2311,HES7,hes family bHLH transcription factor 7
2311,RIPPLY2,ripply transcriptional repressor 2
2311,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
2311,MESP2,mesoderm posterior bHLH transcription factor 2
2312,UGT1A1,UDP glucuronosyltransferase family 1 member A1
2314,STAT3,signal transducer and activator of transcription 3
2315,UBR1,ubiquitin protein ligase E3 component n-recognin 1
2318,TMEM216,transmembrane protein 216
2318,CC2D2A,coiled-coil and C2 domain containing 2A
2318,TMEM237,transmembrane protein 237
2318,TMEM231,transmembrane protein 231
